reccount,polno,state,effdate,expdate,polage,cancel,reinstate,lapse,poltype,vehtype,deluxmulti,color,year,milecat,size,power,V96,deduct,county,limit,prem,incloss,claimct
4187,GPH0000017  ,OH,20130706,20140706,6,0,2,2,stand,full,stand,White,1984,5,2462,0,H              ,1000,115,25,1949,0,0
4205,GPH0000053  ,OH,20130731,20140731,6,0,0,0,stand,econ,stand,Red,1970,3,816,0,               ,500,115,25,1461,0,0
4206,GPH0000053  ,OH,20140731,20150731,7,0,0,0,stand,econ,stand,Red,1970,3,816,0,               ,500,115,25,1441,0,0
4216,GPH0000075  ,OH,20130801,20140801,6,0,0,0,delux,full,No,White,1980,3,3100,0,H              ,2500,21,500,4305,0,0
4217,GPH0000075  ,OH,20140801,20150801,7,0,0,0,delux,full,No,White,1980,3,3100,0,H              ,2500,21,500,4319,0,0
4223,GPH0000089  ,OH,20130911,20140911,6,0,1,1,stand,econ,stand,White,1989,4,1350,0,H              ,1000,21,500,4928,0,0
4224,GPH0000089  ,OH,20140911,20150911,7,1,3,2,stand,econ,stand,White,1989,4,1350,0,H              ,1000,21,500,4906,0,0
4235,GPH0000128  ,OH,20130816,20140816,6,1,0,0,delux,full,No,White,1988,4,1508,0,               ,1000,71,100,3308,0,0
4242,GPH0000131  ,OH,20130821,20140821,6,0,1,1,stand,full,stand,Red,1969,5,747,0,               ,500,81,25,1615,0,0
4243,GPH0000131  ,OH,20140821,20150821,7,0,1,1,stand,full,stand,Red,1969,5,747,0,               ,500,81,25,1670,0,0
4245,GPH0000141  ,OH,20130821,20140821,6,0,0,0,delux,full,No,Blue,1990,4,1922,0,               ,1000,15,500,3254,0,0
4246,GPH0000141  ,OH,20140821,20150821,7,0,0,0,delux,full,No,Blue,1990,4,1922,0,G              ,1000,15,500,3246,0,0
4262,GPH0000194  ,OH,20130905,20140905,6,1,2,0,stand,full,stand,Blue,1985,4,2000,2,               ,1000,21,25,2354,0,0
4263,GPH0000194  ,OH,20140905,20150905,7,1,2,0,stand,full,stand,Blue,1985,4,2000,2,H              ,1000,21,25,2346,0,0
4276,GPH0000246  ,OH,20131018,20141018,6,0,0,0,stand,lux,stand,Blue,1998,5,2143,4,               ,2500,115,100,2395,0,0
4283,GPH0000256  ,OH,20130919,20140919,6,0,2,2,delux,full,No,White,1955,2,1564,0,H              ,2500,103,100,2151,0,0
4284,GPH0000256  ,OH,20140919,20150919,7,0,2,2,delux,full,No,White,1955,2,1564,0,H              ,2500,103,100,2203,0,0
4291,GPH0000279  ,OH,20131012,20141012,6,0,0,0,delux,full,No,White,1991,3,1760,0,H              ,2500,115,500,2648,0,0
4292,GPH0000279  ,OH,20141012,20151012,7,0,0,0,delux,full,No,White,1991,3,1760,0,H              ,2500,115,500,2775,0,0
4308,GPH0000316  ,OH,20131010,20141010,6,0,5,5,delux,full,No,Blue,1985,3,928,0,H              ,1000,115,100,2156,0,0
4309,GPH0000316  ,OH,20141010,20151010,7,0,6,6,delux,full,No,Blue,1985,3,928,0,H              ,1000,115,100,2253,0,0
4314,GPH0000329  ,OH,20141008,20151008,7,1,3,1,delux,full,No,White,1983,4,1490,0,G              ,2500,15,100,1271,0,0
4317,GPH0000365  ,OH,20141012,20151012,7,0,0,1,stand,full,stand,Red,1990,4,1100,3,H              ,1000,21,25,979,0,0
4326,GPH0000378  ,OH,20131018,20141018,6,0,0,0,stand,full,stand,White,1982,3,1822,4,               ,1000,115,25,1572,0,0
